"Position_A","Nature_F","probability","number"
"0","0",0.651162790697659,86
"1","0",0.879310344813084,58
"0","1",0.594594594594595,74
"1","1",0.639344262295077,61
"0","2",0.368421052631583,19
"1","2",0.565217391304349,23
