"Burst_Month","Position_A","probability","number"
"8-9-10-11","0",1.12535172916556e-08,38
"1","0",0.210526315789483,19
"2","0",0.0129449838187718,309
"3","0",0.00827814569536431,605
"8-9-10-11","1",1.12535174603744e-08,13
"1","1",0.735294117647071,34
"2","1",0.257142857142883,70
"3","1",0.099999999999999,80
