"Position_A","Nature_Ancestor_F","probability","number"
"0","0",0.148148148148147,54
"1","0",0.447368421052629,114
"0","1",0.166666666666666,6
"1","1",0.229166666666665,48
"0","2",2.26032940699665e-07,1
"1","2",6.82559998560175e-07,0
