id,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,light_interception__sunlit_fraction_col
1,NA,1,NaT,NA,NA,0,1.639,6,3
2,1,1,NaT,NA,NA,0,1.523,6,3
3,2,1,NaT,NA,NA,1,1.409,14,3
4,3,1,NaT,NA,NA,0,1.297,7,3
5,4,1,NaT,NA,NA,11,1.185,9,3
6,5,1,NaT,NA,NA,12,1.076,13,3
7,4,0,NaT,NA,NA,10,0.954,9,3
8,7,1,2002-09-04,1,1,13,0.847,13,3
9,4,0,NaT,NA,NA,7,0.419,11,3
10,1,0,NaT,NA,NA,2,0.94,18,3
11,10,0,NaT,NA,NA,10,0.514,10,3
12,10,0,NaT,NA,NA,9,0.4,9,3
13,10,0,NaT,NA,NA,13,0.641,13,3
14,1,0,NaT,NA,NA,1,0.685,14,3
15,14,0,NaT,NA,NA,6,0.465,8,3
16,15,1,NaT,NA,NA,6,0.364,8,3
17,14,0,NaT,NA,NA,6,0.426,7,3
18,17,1,NaT,NA,NA,7,0.326,6,3
19,1,0,NaT,NA,NA,5,0.393,13,3
20,1,0,NaT,NA,NA,4,0.783,14,3
21,20,0,NaT,NA,NA,3,0.506,4,3
22,21,1,NaT,NA,NA,6,0.405,5,3
23,20,0,NaT,NA,NA,7,0.609,6,3
24,23,1,NaT,NA,NA,10,0.507,9,3
