"Nature_F","109","110","111-112","101-102-103-104","208","209-210-211-212-201-202","203"
"0",0.100462435256756,0.718203371132509,0.166567890794476,0.00861595360135103,0.00339767034191052,0.000895478268427286,0.00185720060457051
"1",0.00192866226140712,0.0705269219771322,0.463390297095113,0.20071621991285,0.125856263849394,0.0404864070710721,0.0970952278330312
"2",0.000417810925343559,0.0161982073686401,0.183201445191207,0.177044367366535,0.198669996925334,0.0924029931004317,0.33206517912251
