"Burst_Month","Position_A","probability","number"
"9-10-11","0",0.735751295336791,193
"12","0",0.572972972972983,185
"1-2","0",0.0248756218905496,201
"3-4-5","0",2.35046274517683e-08,49
"9-10-11","1",0.891666666666667,120
"12","1",0.671328671328677,143
"1-2","1",0.00809716599190367,247
"3-4-5","1",2.35046277896498e-08,40
