"Position_A","Nature_F","probability","number"
"0","0",1.06896551725456,29
"1","0",1.7391304347838,23
"0","1",1.61320754717688,106
"1","1",3.19791666666668,96
"0","2",1.46875000000068,32
"1","2",3.68333333333335,120
