"Burst_Month","Position_Ancestor_A","1","2","3","4","5","6","7","8","9","10","11","12"
"8","0",0.0629305201370684,0.00814954134788212,0.0392885348792407,0.222202098409802,0.46336870531008,0.0757628100491977,0.0676089449701028,0.037665012779679,0.01162924337383,0.00791206890405172,0.0018657698608201,0.0016167499782449
"1","0",0.0182162173193058,0.00248694460927792,0.0124367879288047,0.08786862867242,0.397676058608531,0.133750662665334,0.158032734993566,0.11093755385846,0.0385471601636731,0.0275562592634581,0.00666386243239858,0.0058271294847716
"2-3","0",0.0149453883106727,0.00204812824619263,0.0102703733424987,0.0739190680188804,0.367243586347549,0.137095015598324,0.172092976715971,0.12792625693649,0.045918242151671,0.0333079865770904,0.00811615152735778,0.00711682622730292
"8","1",0.0316590887155854,0.00425507943340624,0.0210428819265532,0.138267353910973,0.459816825778656,0.11281774771746,0.11497591865778,0.0709926557253441,0.0230447262604676,0.0160004771589252,0.00381194521422035,0.00331529950062859
"1","1",0.00886484475924834,0.00122337946585186,0.00616602850884623,0.0459789677595976,0.279647278899987,0.133155900732991,0.198309108822418,0.176309919826777,0.070695553180916,0.0540801728907582,0.0135559379393506,0.0120129072132579
"2-3","1",0.0194081213561911,0.00264601240469468,0.0132191113637733,0.0927758253225255,0.40673651112207,0.132149489619213,0.153256850324492,0.105765903564941,0.036405682735795,0.025917681772044,0.00625418830141267,0.00546462211284771
